TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
,,,Reset CPU,system,---- -011 dddd dddd,,,U*4,,,Y,,,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,Reset CPU,system,---- -011 dddd dddd,,TEMP0,,,4,ARITH,,ADD,,,,,,,,R15,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,Reset CPU,system,---- -011 dddd dddd,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reset CPU,system,---- -011 dddd dddd,,TEMP1,TEMP1,,,LOGIC,,,,,XOR,,,,VBR,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,Reset CPU,system,---- -011 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d8,,Interrupt,system,---- -000 dddd dddd,,PC,,,2,ARITH,,SUB,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,ack,,,Y,,,,,,,,,
,,,Interrupt,system,---- -000 dddd dddd,,R15,,FC,0,ARITH,,ADD,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interrupt,system,---- -000 dddd dddd,,TEMP0,SR,,4,ARITH,,SUB,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Interrupt,system,---- -000 dddd dddd,,TEMP0,PC,,4,ARITH,,SUB,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Interrupt,system,---- -000 dddd dddd,,VBR,U*4,,,ARITH,,ADD,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,Interrupt,system,---- -000 dddd dddd,,R15,,,4,ARITH,INT_MASK,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interrupt,system,---- -000 dddd dddd,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interrupt,system,---- -000 dddd dddd,,R15,,,4,ARITH,,SUB,,,,,,,R15,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,Interrupt,system,---- -000 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d8,,Error,system,---- -001 dddd dddd,,PC,,,2,ARITH,,SUB,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,ack,,,Y,,,,,,,,,
,,,Error,system,---- -001 dddd dddd,,R15,,FC,0,ARITH,,ADD,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Error,system,---- -001 dddd dddd,,TEMP0,SR,,4,ARITH,,SUB,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Error,system,---- -001 dddd dddd,,TEMP0,PC,,4,ARITH,,SUB,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Error,system,---- -001 dddd dddd,,VBR,U*4,,,ARITH,,ADD,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,Error,system,---- -001 dddd dddd,,R15,,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Error,system,---- -001 dddd dddd,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Error,system,---- -001 dddd dddd,,R15,,,4,ARITH,,SUB,,,,,,,R15,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,Error,system,---- -001 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Break,system,---- -010 dddd dddd,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Break,system,---- -010 dddd dddd,,PC,,,2,ARITH,,SUB,,,,,,,PC,,HOLD,,,,,,YES,,,,,,,,,,,,,,,,,,,,,
,,,Break,system,---- -010 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,Break,system,---- -010 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
