TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
,,,JMP @Rm,,0100 mmmm 0010 1011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
A.29,m,2,JSR @Rm,,0100 mmmm 0000 1011,"PC ? PR, Rm ? PC",Rm,,,0,ARITH,,ADD,,,,,,,PC,,INC,,,RD PC,,,,,,,,,,,,,,,,,,,,,,,,
,,,JSR @Rm,,0100 mmmm 0000 1011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.30,m,3,"LDC.L @Rm+, SR",,0100 mmmm 0000 0111,"(Rm)?SR,Rm+4?Rm",Rm,,,,,W,,,,,,,,,SR,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,,,
,,,"LDC.L @Rm+, SR",,0100 mmmm 0000 0111,,Rm,,,4,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"LDC.L @Rm+, SR",,0100 mmmm 0000 0111,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.30,m,3,"LDC.L @Rm+, GBR",,0100 mmmm 0001 0111,"(Rm)?GBR,Rm+4?Rm",Rm,,,,,,,,,,,,,,GBR,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,,,
,,,"LDC.L @Rm+, GBR",,0100 mmmm 0001 0111,,Rm,,,4,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"LDC.L @Rm+, GBR",,0100 mmmm 0001 0111,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.30,m,3,"LDC.L @Rm+, VBR",,0100 mmmm 0010 0111,"(Rm)?VBR,Rm+4?Rm",Rm,,,,,,,,,,,,,,VBR,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,,,
,,,"LDC.L @Rm+, VBR",,0100 mmmm 0010 0111,,Rm,,,4,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"LDC.L @Rm+, VBR",,0100 mmmm 0010 0111,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.30,m,1,"LDS.L @Rm+, MACH",,0100 mmmm 0000 0110,"(Rm)?MACH,Rm+4?Rm",Rm,,,4,ARITH,,ADD,,,,,,,Rm,,INC,,,,,,,WB,NOT STALL,,Y,WBUS,,LOAD,,,,,,READ,,32,,XBUS,,YES,,
A.30,m,1,"LDS.L @Rm+, MACL",,0100 mmmm 0001 0110,"(Rm)?MACL,Rm+4?Rm",Rm,,,4,ARITH,,ADD,,,,,,,Rm,,INC,,,,,,,WB,NOT STALL,,Y,,WBUS,,LOAD,,,,,READ,,32,,XBUS,,YES,,
A.30,m,1,"LDS.L @Rm+, PR",,0100 mmmm 0010 0110,"(Rm)?PR,Rm+4?Rm",Rm,,,,,,,,,,,,,,PR,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,YES,,
A.30,m,1,"LDS.L @Rm+, PR",,0100 mmmm 0010 0110,,Rm,,,4,ARITH,,ADD,,,,,,,Rm,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"LDS Rm, CP0_COM",,0100 mmmm 1000 1000,Rm ? CP0_COM,,Rm,,,Y,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,LDS,
,,,"CLDS CP0_Rm, CP0_COM",,0100 mmmm 1000 1001,CP0_Rm ? CP0_COM,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,CLDS,
,,,"LDS Rm, CPI_COM",,0100 mmmm 0101 1010,Rm ? CPI_COM,,Rm,,,Y,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,LDS,
,,,"CLDS CPI_Rm, CPI_COM",,1111 mmmm 0001 1101,CPI_Rm ? CPI_COM,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,CLDS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.31,m,2,BRAF Rm,,0000 mmmm 0010 0011,"Delayed branch, Rm + PC ? PC",PC,Rm,,,ARITH,,ADD,,,,,,,PC,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BRAF Rm,,0000 mmmm 0010 0011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
A.31,m,2,BSRF Rm,,0000 mmmm 0000 0011,"Delayed branch, PC ? PR, Rm + PC ? PC",PC,Rm,,,ARITH,,ADD,,,,,,,PC,,INC,,,RD PC,,,,,,,,,,,,,,,,,,,,,,,,
,,,BSRF Rm,,0000 mmmm 0000 0011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"ADD Rm, Rn",,0011 nnnn mmmm 1100,Rn+Rm?Rn,Rn,Rm,,,ARITH,,ADD,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
